entity_id,display_name,country,aliases,source_ids,node_kind
ent-9869f7cce665,Undisclosed Supplier · Pilbara Minerals · au-pilbara-minerals-statement-1,OTHER,[],{},placeholder
ent-a3315edb216f,Undisclosed Supplier · Pilbara Minerals · au-pilbara-minerals-statement-2,OTHER,[],{},placeholder
ent-1e0623b2d6b2,Qantas Airways,AU,[],{},company
ent-f7fbac5050b8,Undisclosed Supplier · Qantas Airways · au-qantas-airways-statement-1,OTHER,[],{},placeholder
ent-3503bfdc476e,Undisclosed Supplier · Qantas Airways · au-qantas-airways-statement-2,OTHER,[],{},placeholder
ent-6f86e4d33957,Foxconn Industrial Internet,CN,[],{},company
ent-a6a8ae9fa5bc,服务器工厂,OTHER,[],{},company
ent-3d6b89b0f79b,BYD,CN,[],{},company
ent-60b74b2eb970,Undisclosed Customer · BYD · cn-byd-2024 · #1,OTHER,[],{},placeholder
ent-72a4952e5023,Undisclosed Customer · BYD · cn-byd-2024 · #2,OTHER,[],{},placeholder
ent-3e3511d59940,Undisclosed Customer · BYD · cn-byd-2024 · #3,OTHER,[],{},placeholder
ent-f8238114d644,Undisclosed Customer · BYD · cn-byd-2024 · #4,OTHER,[],{},placeholder
ent-edd13622c61c,Undisclosed Customer · BYD · cn-byd-2024 · #5,OTHER,[],{},placeholder
ent-e76b91fdf2d4,Undisclosed Supplier · BYD · cn-byd-2024 · #1,OTHER,[],{},placeholder
ent-80ccdb60bd95,Undisclosed Supplier · BYD · cn-byd-2024 · #2,OTHER,[],{},placeholder
ent-5f1cb462f105,Undisclosed Supplier · BYD · cn-byd-2024 · #3,OTHER,[],{},placeholder
ent-5c865ebad642,Undisclosed Supplier · BYD · cn-byd-2024 · #4,OTHER,[],{},placeholder
ent-5a0b47c4cf5a,Undisclosed Supplier · BYD · cn-byd-2024 · #5,OTHER,[],{},placeholder
ent-9e20590e0049,Undisclosed Customer · BYD · cn-byd-2023 · #1,OTHER,[],{},placeholder
ent-3895a3fc5681,Undisclosed Customer · BYD · cn-byd-2023 · #2,OTHER,[],{},placeholder
ent-525021b4367d,Undisclosed Customer · BYD · cn-byd-2023 · #3,OTHER,[],{},placeholder
ent-6cf68d59f0f9,Undisclosed Customer · BYD · cn-byd-2023 · #4,OTHER,[],{},placeholder
ent-32b494ebaf1f,Undisclosed Customer · BYD · cn-byd-2023 · #5,OTHER,[],{},placeholder
ent-a1854423f33f,Undisclosed Supplier · BYD · cn-byd-2023 · #1,OTHER,[],{},placeholder
ent-a15268d55b6c,Undisclosed Supplier · BYD · cn-byd-2023 · #2,OTHER,[],{},placeholder
ent-0c4fdc432fbf,Undisclosed Supplier · BYD · cn-byd-2023 · #3,OTHER,[],{},placeholder
ent-d51f72f7a8bd,Undisclosed Supplier · BYD · cn-byd-2023 · #4,OTHER,[],{},placeholder
ent-c06fdfb7d8f9,Undisclosed Supplier · BYD · cn-byd-2023 · #5,OTHER,[],{},placeholder
ent-348e39a17553,Undisclosed Customer · BYD · cn-byd-2022 · #1,OTHER,[],{},placeholder
ent-4f19d05ba133,Undisclosed Customer · BYD · cn-byd-2022 · #2,OTHER,[],{},placeholder
ent-921361a240c7,Undisclosed Customer · BYD · cn-byd-2022 · #3,OTHER,[],{},placeholder
ent-842d8964b8e4,Undisclosed Customer · BYD · cn-byd-2022 · #4,OTHER,[],{},placeholder
ent-6ee9b567a47d,Undisclosed Customer · BYD · cn-byd-2022 · #5,OTHER,[],{},placeholder
ent-dfc8e4cfff0b,Undisclosed Supplier · BYD · cn-byd-2022 · #1,OTHER,[],{},placeholder
ent-832d1ca2eb75,Undisclosed Supplier · BYD · cn-byd-2022 · #2,OTHER,[],{},placeholder
ent-110dddab3bd8,Undisclosed Supplier · BYD · cn-byd-2022 · #3,OTHER,[],{},placeholder
ent-c0db19a558d1,Undisclosed Supplier · BYD · cn-byd-2022 · #4,OTHER,[],{},placeholder
ent-1da9849edf35,Undisclosed Supplier · BYD · cn-byd-2022 · #5,OTHER,[],{},placeholder
ent-027f1972f7f2,China Yangtze Power,CN,[],{},company
ent-6ac4ef6eabc4,国家电网有限公司,OTHER,[],{},company
ent-b6f6e4bf5b2c,中国南方电网有限责任公司超高压输电公司,OTHER,[],{},company
ent-58ab7db982f7,广东电网有限责任公司,OTHER,[],{},company
ent-ceb27ac07b15,中国南方电网有限责任公司,OTHER,[],{},company
ent-58bc39db15b2,武汉联发瑞盛置业有限公司,OTHER,[],{},company
ent-694b32cf4c4c,中国能源建设集团山西省电力勘测设计院有限公司,OTHER,[],{},company
ent-3c1dfb3f4b19,中国电建集团华东勘测设计研究院有限公司,OTHER,[],{},company
ent-224dc4f2246b,中国能源建设集团江苏省电力设计院有限公司,OTHER,[],{},company
ent-63f4f4b68a2e,长江三峡实业有限公司,OTHER,[],{},company
ent-aa0c3335acf9,三峡基地发展有限公司,OTHER,[],{},company
ent-4a748db66120,NVIDIA,US,[],{},company
ent-aa7fa45ade35,TSMC,OTHER,"[""Taiwan Semiconductor Manufacturing Company Limited""]",{},company
ent-ff0a15d82a3d,Apple,US,[],{},company
ent-67626106d193,Undisclosed Customer · Apple · us-apple-2025,OTHER,[],{},placeholder
ent-98a47b91398a,Undisclosed Customer · Apple · us-apple-2023,OTHER,[],{},placeholder
ent-e8bcd432550d,Broadcom,US,[],{},company
ent-1624a4589ebe,BMC Software Inc,OTHER,[],{},company
ent-69aa5d0c4034,Tesla,US,[],{},company
ent-6f6a27f6fbaf,CATL,OTHER,"[""Contemporary Amperex Technology""]",{},company
ent-01674ee1fc95,Berkshire Hathaway,US,[],{},company
ent-2451c73ce022,Undisclosed Customer · Berkshire Hathaway · us-berkshire-hathaway-2026,OTHER,[],{},placeholder
ent-173730230d0e,Undisclosed Customer · Berkshire Hathaway · us-berkshire-hathaway-2025,OTHER,[],{},placeholder
ent-b398640fbcd7,Undisclosed Customer · Berkshire Hathaway · us-berkshire-hathaway-2024,OTHER,[],{},placeholder
ent-be87b76c2961,General Electric,US,[],{},company
ent-3867d9c8a100,Electric Insurance Company,OTHER,[],{},company
ent-5c398419db2c,Cisco,US,[],{},company
ent-26380f5190e1,Undisclosed Customer · Cisco · us-cisco-2025,OTHER,[],{},placeholder
ent-ece5af217d85,Undisclosed Customer · Cisco · us-cisco-2024,OTHER,[],{},placeholder
ent-3790604d1a57,Undisclosed Customer · Cisco · us-cisco-2023,OTHER,[],{},placeholder
